Country Code,type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GMB,per1000,373.170687284285,361.466689214526,350.238523695348,339.536872596858,329.34587083134,319.603950134251,310.220780624389,301.111811718905,292.223706082089,283.543941567923,275.087148721363,256.40562251169,275.058004640371,292.698303413746,150.057039471116,215.967994016856,138.222186238736,66.8761009982384,85.9693380793406,46.8437991971703,87.267820433457
GNB,per1000,399.449765047178,330.873071171579,260.890395343313,192.06777542533,127.456429121761,94.827169572268,77.3514752660822,75.471911982969,88.4033571629982,107.594749043075,124.625394800877,127.8858039304,121.288663230281,111.831939033853,95.0430534030003,78.4938121939412,65.6445063323523,57.1053953021258,56.740528750939,63.4603160886181,88.9162488986269
GNQ,per1000,388.128938599096,389.037174944828,388.943905417474,392.427221227081,394.424150113885,396.479379662107,392.603385111932,385.915057576739,358.819709608882,327.205633609106,312.497350684583,310.30509869171,328.211747387244,347.711656874877,345.018547180588,333.649102539418,319.90296095808,296.216822714278,265.811335053775,246.295304804931,240.837927704145
GRC,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GRD,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GRL,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GTM,per1000,7.23971076175342,4.74097060598224,4.58005179289612,3.90066145935603,3.53226566935679,4.70714825630588,3.61984990822825,1.73959285096179,0.796408002250106,0.766588474950646,0.857236294812507,0.706061120010719,0.543189177992216,0.618502569775405,0.479503392877495,0.528311359753792,0.467852718973565,0.378402993706466,0.271950540483459,0.182933164524498,0.0917572353463658
GUM,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GUY,per1000,45.0344038847329,50.9577217574738,41.1606508689038,51.910910940465,54.1960503501905,73.1522630656324,37.0195689603194,21.0281093724254,21.9130574506404,23.9087463455474,39.5380489171771,51.677528393187,57.6816152758582,75.6755404125745,29.2256320976301,23.4939076114788,25.0426841837112,32.4644164609181,39.4977195326871,33.6073584363323,28.1720760934653
HIC,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
HKG,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
HND,per1000,8.64758158050682,5.78902696111975,4.02308281805392,3.21676233632084,3.84316992622896,3.47347567360755,2.48989753503325,2.1153811623625,1.62411924280437,1.7472628923621,1.76640149849462,1.33679780363691,1.10901885306497,0.907311100551677,0.561269818415099,0.580534081663409,0.65722058449643,0.199747049515959,0.107434291782325,0.0502943465303131,0.12238629193277
HPC,per1000,330.625239618464,330.786367761355,316.233659896434,308.9642490912,297.289933950226,280.956834093181,270.282399582936,259.059670361515,250.73632813496,250.512637519737,248.276015293001,240.840543594083,236.146256182464,229.582410639774,218.095558802963,211.335364684511,205.415663989338,206.444036552789,196.564354200902,189.70074549454,197.972745578896
HRV,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
HTI,per1000,9.58894453900689,9.58890733834654,9.5888957222294,9.58896736151792,9.58895161158622,9.58886851351541,9.72581022267109,8.63953901083337,10.3909780403363,9.58889712660945,9.58890501758425,9.02976087639978,7.15683497667382,6.73158298472434,3.51406671814138,3.36817883611604,3.74603070363609,3.37570855533494,1.61003470228546,1.75927637423902,3.73780914988744
HUN,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
IBD,per1000,13.8449359951972,13.7709762123289,12.8881026166997,13.3948075935244,14.2105260688977,15.0076931295735,12.8986281695975,12.1571195876227,11.9562571131098,11.7990926613259,11.6106623879265,10.0283222303997,8.608849679332,7.34044786122942,7.29247639010725,7.6559921762909,8.04891009828849,7.04092780652742,6.01995722822532,5.71787204299233,5.56004621947638
IBT,per1000,82.0116863752653,82.4255289114718,79.3298377433442,78.9751191693771,78.4591992084281,76.8415713301388,74.0937107165558,72.0998379253206,70.7438509836543,70.9328598071041,69.8456272795738,66.8531942484438,64.7709694745031,62.2415847893243,60.2963570381916,59.3314987168389,59.1618309292727,59.6122895467338,57.674964173349,56.7110847521898,59.9885015804589
IDA,per1000,250.889974965582,250.519066351331,240.067671374535,235.702836674218,230.099220682726,220.930538184565,214.657726915884,208.140728112976,202.380358256743,201.422561957271,197.686335287272,189.839391777426,184.90916514841,178.040717833105,170.764808839574,165.589682050309,162.819074008682,164.730036015104,159.271736278116,155.745895819533,163.657479081611
IDB,per1000,209.725056071128,208.614741628704,199.90388695693,198.808605309455,201.001891846185,198.674376904587,196.145909704105,194.141784953253,188.519887510157,182.957746234566,172.258846857155,162.534058838451,153.83383151382,147.41898469282,144.143613786539,139.815585187174,140.215648791625,142.302293415306,141.145429782114,141.262618691378,148.086811172426
IDN,per1000,5.85618009936523,5.85618212178614,5.85618232380473,5.85618055881612,5.28846350214144,5.69859938331022,6.56447104898516,5.85618268186697,5.85618317549339,5.8561805977611,8.94417597772755,8.02729727965535,7.85593701201785,6.59755740180731,4.9515010671816,4.36920780894041,4.51533971258207,3.05439275778504,2.23018949624517,2.43687233946071,2.86941950928288
IDX,per1000,277.169007048188,277.225192680916,265.608387087518,259.10587000862,248.50999138523,234.97967443532,226.31785048209,216.940306551242,211.077074129067,212.990946952629,213.598763606349,206.913843894208,204.331464372108,197.171360960362,187.385948021186,181.666191023637,176.898780803696,178.676653143267,170.520167146604,164.711307738342,173.360830606237
IMN,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
IND,per1000,19.9136145086356,19.9920126051981,18.5374044059423,19.4851191718238,21.2707720352167,22.6305662616541,18.2259049061673,17.3570327305218,17.9093783443841,18.1424018845852,17.5319415736262,14.7968404262886,11.8186474891496,9.1762624106823,9.18836206667043,9.68200552281549,10.0449301396251,7.46636152653234,5.35493629000028,4.34567746323374,3.21700688785086
INX,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
IRL,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
IRN,per1000,29.4262507947595,28.4518273404624,22.6470464076672,33.8760810023938,19.6323253673337,26.6274307744362,22.0846683065783,21.5721944957403,11.3383427197084,5.83564565476079,2.45248069683913,2.14167045045944,0.980211653108801,0.613410511218113,0.452634573442488,0.208384025555119,0.099710961312147,0.0692016317016317,0,0,0
IRQ,per1000,0.608900554754237,0.401962083377422,0.293722997615969,0.104085896361043,0.0453110648451034,0.0134289704608365,0.00672597481795028,0.000826796815509385,0.00162595192710532,0,0,0,0,0,0,0,0,0,0,0,0
ISL,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ISR,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ITA,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
JAM,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
JOR,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
JPN,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
KAZ,per1000,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,null
KEN,per1000,216.795527621421,241.661364304789,223.487615232931,209.224904060922,178.076826154769,136.533555564693,103.497683181051,79.7083682461522,66.3368029098524,62.7689215257558,64.0190597888409,65.8810554475666,68.7895647318534,71.3495449097498,70.7480798849406,68.7705223246216,65.9607640325304,62.5417602958817,59.749845541869,56.4512840271063,50.9264812614343
KGZ,per1000,0.00182379294218186,0.00387495369430335,0.699911027823839,0.117885959526502,0.0231527655087909,0.0568359071579142,0.0795593711807436,0.0237399349476324,0.00439144887316642,0.000240322686077049,0.000709321812686079,0,0,0,0,0,0,0,0,0,null
KHM,per1000,77.8389970107249,44.3043197854504,39.0508598377043,51.1341319690203,43.6226256644676,41.4099271283889,45.9512439963581,19.760034937838,21.8855021673861,42.7684517565017,34.9053811272853,35.7893049936953,24.8757508785622,15.8854257340396,22.259721530605,19.9366780414669,11.1336008786555,17.9033247315597,23.6929426928602,12.0143746734851,5.84734336878057
KIR,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
KNA,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
KOR,per1000,1.26125191690391,0.765398937245372,0.53542176592158,0.346627838033925,0.254526386491248,0.401575325146946,0.599421737761904,0.648810160244747,0.308762822516275,0.25996425925674,0.365319817749526,0.144905495792002,0.1124350929901,0.108677146586459,0.157231239730217,0.176241617982379,0.168682213637425,0.12189843958814,0.139865293809244,0.135256787101913,0.099196342441378
KWT,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
LAC,per1000,15.9336155974576,13.2621082285763,11.75705988732,11.2920981668118,10.8298567646779,11.9550165335839,10.1846553655515,8.95274457499989,6.19826191567647,5.99362967247202,7.00311101873187,5.10896057789249,4.7033867452174,4.29319989569972,3.23665122269544,3.83930040883649,3.4832547780854,3.91693095907152,3.79325258464844,3.51434930229119,3.42675459670179
LAO,per1000,32.4009596647671,22.0561015936354,17.6339126406928,15.7525739657613,13.6895217950302,11.6953006957304,16.0966039502345,14.7695331504706,13.1729207263255,14.8360319350073,13.4594543394639,9.19376388745496,23.8385850546246,20.1457178524201,25.4042479537959,17.8148328175625,7.5409132865154,4.03793318849953,4.26031174247403,3.10677717036129,1.49877356262755
