Country Code,type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CEB,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CHE,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CHI,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CHL,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CHN,per1000,0.0147878304281972,0.0388747800445651,0.0464209816929127,0.0515123128955265,0.0488839544439937,0.0392001022562259,0.0628695173293953,0.0517744737070595,0.0292524304737632,0.0162251086423194,0.00866917724534023,0.00225969375711123,0.000419182192172922,0.000141802879693928,0.0000900578852494898,0.0000659196835184501,0.00000168160673353004,0,0,0,0
CIV,per1000,510.669621857881,521.945701505136,523.07811855923,521.565388966223,515.900259386317,486.077947151199,475.741770930008,471.286170698311,477.930810267777,485.252887373526,481.861685299487,466.612030100646,382.510376760067,294.249563531528,265.473245991906,247.735569410821,251.312213388174,259.983979523253,272.335970803407,281.187090618751,287.04685958426
CMR,per1000,403.73150760374,407.1032481193,401.988066101364,416.466195885463,433.275536547728,431.844854638206,419.129026485709,399.788086490738,363.447799510863,315.464103395658,290.870328627031,268.442876226563,258.028583028547,262.103382207063,261.899589949728,261.298512823383,257.611994107466,250.568853707573,247.334765451547,244.103089044077,259.958161467263
COD,per1000,469.523731159233,469.83412837423,470.338007156208,474.509302607045,481.241601007958,481.689065313851,473.914069071951,464.05512877889,444.963445019809,413.96724287091,389.912721133407,365.719042457755,345.523943032318,326.492089189163,307.504659778931,295.763539264582,297.480538689442,308.210408471007,320.878874192655,320.674687630789,324.207426413611
COG,per1000,355.36096846602,351.27550941133,319.893268921718,314.456333662566,308.728351889264,287.134033993279,263.654819054973,241.40668394682,219.018034958109,206.185651565591,201.133293617905,198.481993209312,195.691673778329,193.949195252963,186.500005805405,184.014185889768,190.024043384094,205.838690230557,217.632341620898,215.917133413524,213.177127166419
COL,per1000,24.0172935455347,37.3669277824517,32.2045874011011,27.6808380557081,21.1980532882028,17.676645717227,17.2954546238716,17.8860022057107,11.2237587762484,11.1590391447041,16.4369173218984,8.91557240784159,8.25198028018265,7.02822598351059,5.48403715689064,8.06427466725041,10.834023879295,7.4770851899909,8.53402454199437,10.7460540031364,9.40926471028173
